iter	Logloss
0	0.6808835962
1	0.6680656565
2	0.6571265666
3	0.6463443056
4	0.6358058378
5	0.6269400208
6	0.6181824315
7	0.6106016444
8	0.6036040292
9	0.5957132566
10	0.5877502085
11	0.581391316
12	0.5740555322
13	0.5681916373
14	0.5626461353
15	0.5570920098
16	0.5522762705
17	0.5475395872
18	0.5429909108
19	0.5390329151
20	0.5358585117
21	0.5324174971
22	0.5285128016
23	0.524900465
24	0.5215709049
25	0.5189032973
26	0.5162579706
27	0.5133881853
28	0.5106190267
29	0.5083330872
30	0.5058172349
31	0.5037510553
32	0.5014351334
33	0.4987057799
34	0.49670002
35	0.4945549588
36	0.4923697449
37	0.4905233092
38	0.4882946584
39	0.4862444905
40	0.4844804854
41	0.4830073897
42	0.4815897282
43	0.4799379647
44	0.4785654422
45	0.4768653378
46	0.4753462708
47	0.4740198183
48	0.4725362477
49	0.4713720685
50	0.4699103326
51	0.4686045606
52	0.4675967924
53	0.4662979786
54	0.4652264664
55	0.464149732
56	0.4631394502
57	0.461998434
58	0.4609666604
59	0.460149663
60	0.4592208014
61	0.4582057726
62	0.4571781173
63	0.4564302431
64	0.4554438539
65	0.4542793697
66	0.4533888047
67	0.4526929981
68	0.4519943223
69	0.4508088381
70	0.4500964858
71	0.44902701
72	0.4483820769
73	0.4476710444
74	0.4466574687
75	0.4458484896
76	0.4449407368
77	0.4440007562
78	0.4433305168
79	0.4428252449
80	0.4422583052
81	0.4416430367
82	0.4409848696
83	0.4402716165
84	0.439643806
85	0.4391884559
86	0.438690577
87	0.4380783912
88	0.4376641863
89	0.4370528927
90	0.436524776
91	0.4360010689
92	0.4355799999
93	0.4349162142
94	0.4342498445
95	0.4334088135
96	0.4327594737
97	0.4321811896
98	0.4316244852
99	0.431205466
100	0.4307858329
101	0.4302172064
102	0.429850102
103	0.4294909396
104	0.4288759672
105	0.4284687243
106	0.4278070635
107	0.4271329893
108	0.4266245732
109	0.4261588158
110	0.4256845555
111	0.4252677793
112	0.4249300144
113	0.4245636967
114	0.4242082085
115	0.4237518827
116	0.4233321293
117	0.4230021161
118	0.4227072107
119	0.4222860407
120	0.421774207
121	0.4213908088
122	0.4210491322
123	0.4206700362
124	0.4203844161
125	0.4199782306
126	0.4196715681
127	0.4193488949
128	0.4190162925
129	0.4186534915
130	0.4183966881
131	0.4180257755
132	0.417683298
133	0.4172790715
134	0.4169147387
135	0.4166401905
136	0.4163746496
137	0.4160411267
138	0.4157007583
139	0.4152903734
140	0.4149549004
141	0.4147111346
142	0.414297618
143	0.4139423902
144	0.4135747059
145	0.4132503883
146	0.4129203855
147	0.4126802253
148	0.4121448154
149	0.4117275999
150	0.4114335969
151	0.4111752756
152	0.4107958347
153	0.4105101332
154	0.4102788749
155	0.4100036451
156	0.4097141443
157	0.4093789975
158	0.4090997332
159	0.4089006284
160	0.4085948865
161	0.4083028204
162	0.407928581
163	0.4076878385
164	0.4074845163
165	0.4072180969
166	0.4068840056
167	0.4065840397
168	0.4062736856
169	0.405958602
170	0.4057333
171	0.4055365436
172	0.4053085615
173	0.4049676669
174	0.404679833
175	0.4043083551
176	0.404074483
177	0.403855176
178	0.4035928573
179	0.4031970156
180	0.402799395
181	0.4024749854
182	0.4018791257
183	0.4015888331
184	0.4013507942
185	0.4011416991
186	0.4008388626
187	0.40038529
188	0.4002555141
189	0.4000143121
190	0.3996775851
191	0.3993962842
192	0.3990141022
193	0.3988724654
194	0.3984813591
195	0.3981308728
196	0.3979712297
197	0.3978246449
198	0.3975927459
199	0.3973221035
200	0.3969914963
201	0.3966127273
202	0.3961684081
203	0.3959808615
204	0.3957221202
205	0.3954887771
206	0.3953845016
207	0.3949767287
208	0.3946019344
209	0.3943573881
210	0.3941394765
211	0.3938867945
212	0.393641131
213	0.393168933
214	0.3928978295
215	0.392720889
216	0.3924934762
217	0.3921062213
218	0.391926266
219	0.3917168193
220	0.3914991578
221	0.3912253079
222	0.3910419163
223	0.390895902
224	0.3907594879
225	0.3905603045
226	0.3903616697
227	0.3902126377
228	0.3899031951
229	0.3896159863
230	0.3893994325
231	0.3892343984
232	0.3890130547
233	0.3887993882
234	0.3886483569
235	0.3884573857
236	0.3882498025
237	0.3881101303
238	0.3878976156
239	0.3877263152
240	0.3875095912
241	0.3872846924
242	0.3871024504
243	0.3869888423
244	0.3867977276
245	0.3865705546
246	0.3864289582
247	0.3862555626
248	0.3861225255
249	0.3858676574
250	0.3856232739
251	0.3854773835
252	0.3853619871
253	0.3851565903
254	0.3850024388
255	0.3848714574
256	0.3847263811
257	0.3845351008
258	0.3843047234
259	0.3841155101
260	0.3839525088
261	0.3836098153
262	0.3834542033
263	0.3833484433
264	0.3832050031
265	0.3830198582
266	0.3828751298
267	0.3827419416
268	0.3826238501
269	0.3823335174
270	0.3822320848
271	0.3821248403
272	0.3819627308
273	0.3817352601
274	0.3815253101
275	0.3813758129
276	0.3812355479
277	0.3809449667
278	0.3808077859
279	0.3806046102
280	0.3804752993
281	0.3803302165
282	0.3802002133
283	0.379937358
284	0.3798245392
285	0.3797059328
286	0.3795145523
287	0.3793854543
288	0.379215504
289	0.3790717481
290	0.3789677045
291	0.3787495602
292	0.3785576321
293	0.3784702658
294	0.3783600386
295	0.3782534639
296	0.3781676753
297	0.3780227413
298	0.3779023913
299	0.377677474
300	0.3774743976
301	0.3773715196
302	0.3772723065
303	0.377103152
304	0.3769943034
305	0.3768197162
306	0.3766868378
307	0.3765098531
308	0.3763983961
309	0.3763109481
310	0.3760727016
311	0.3758784259
312	0.3757575194
313	0.3756069697
314	0.3754102044
315	0.3751705921
316	0.3750507545
317	0.3747919907
318	0.3746987862
319	0.3744534743
320	0.3743188374
321	0.3741496851
322	0.3739917539
323	0.37386626
324	0.3737143527
325	0.3735536546
326	0.3734215433
327	0.3731813229
328	0.3729895048
329	0.3728655282
330	0.3727286414
331	0.3725343656
332	0.3724255108
333	0.3721625918
334	0.3720336261
335	0.3718621716
336	0.3715602253
337	0.3714599543
338	0.3713722866
339	0.3711622101
340	0.3709487996
341	0.3708345441
342	0.3706167898
343	0.3704261593
344	0.3703381185
345	0.3701043376
346	0.3700101745
347	0.3699194844
348	0.3697912198
349	0.3696659088
350	0.3695433078
351	0.3693362178
352	0.3691757998
353	0.3690347451
354	0.3688785545
355	0.3687392209
356	0.368571747
357	0.3682942291
358	0.3681842523
359	0.3680711045
360	0.3679812739
361	0.3678149608
362	0.3676976805
363	0.3675626268
364	0.3674261383
365	0.3673430661
366	0.367177728
367	0.3670201219
368	0.3669424173
369	0.3668331034
370	0.3667343481
371	0.366358931
372	0.3659644218
373	0.3658167068
374	0.3656705578
375	0.3653869661
376	0.3651513747
377	0.3649729754
378	0.3648870984
379	0.3647784392
380	0.3644411378
381	0.3642343142
382	0.3640726087
383	0.3640043634
